	Series	Year Published	Month Published	Title	Authors	OU	DOI	URL
   2018-07-27T18:38:34Z	TN	2018	7	Development of CPSC nano-particle modeling tools	"Dols, W Stuart; Persily, Andrew K; Polidoro, Brian J"	Engineering Laboratory	10.6028/NIST.TN.2004	https://nvlpubs.nist.gov/nistpubs/TechnicalNotes/NIST.TN.2004.pdf
   2018-07-27T18:38:35Z	IR	2018	7	NIST micronutrients measurement quality assurance program: spring and fall 1986 comparability studies results for round robins VII and VIII fat soluble vitamins and carotenoids in human serum	"Craft, Neal E; Duewer, David L; Kline, Margaret C; Paule, Robert C; Ruegg, Fillmer C; Schaffer, Robert; Schonberger, Emil; Thomas, Jeanice B"	Material Measurement Laboratory Information Technology Laboratory	10.6028/NIST.IR.7880-38	https://nvlpubs.nist.gov/nistpubs/ir/2018/NIST.IR.7880-38.pdf
   2018-07-27T18:38:36Z	SP	2018	7	Guidance for evaluating contactless fingerprint acquisition devices	"Libert, John; Grantham, John; Bandini, Bruce; Wood, Stephen; Garris, Michael; Ko, Kenneth; Byers, Fred; Watson, Craig"	Information Technology Laboratory	10.6028/NIST.SP.500-305	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.500-305.pdf
   2018-07-23T20:41:18Z	IR	2018	7	Performance evaluation of LTE device-to-device out-of-coverage communication with frequency hopping resource scheduling	"Cintron, Fernando J"	Communications Technology Laboratory	10.6028/NIST.IR.8220	https://nvlpubs.nist.gov/nistpubs/ir/2018/NIST.IR.8220.pdf
   2018-07-23T20:41:17Z	TN	2018	7	Building industry reporting and design for sustainability (BIRDS) low-energy residential incremental energy efficiency improvements database technical manual: update	"Kneifel, Joshua; O'Rear, Eric; Lavappa, Priya; Greig, Anne Landfield; Suh, Sangwon"	Engineering Laboratory	10.6028/NIST.TN.2003	https://nvlpubs.nist.gov/nistpubs/TechnicalNotes/NIST.TN.2003.pdf
   2018-07-17T15:57:25Z	IR	2018	7	Bootstrap method versus analytical approach for estimating uncertainty of measures in ROC analysis on large datasets	"Wu, Jin Chu; Martin, Alvin F; Sanders, Gregory A; Kacker, Raghu N"	Information Technology Laboratory	10.6028/NIST.IR.8218	https://nvlpubs.nist.gov/nistpubs/ir/2018/NIST.IR.8218.pdf
   2018-07-13T20:00:21Z	SP	2018	7	Identity and access management for electric utilities	"McCarthy, Jim; Faatz, Don; Perper, Harry; Peloquin, Chris; Wiltberger, John; Kauffman, Leah"	Information Technology Laboratory	10.6028/NIST.SP.1800-2	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1800-2.pdf
   2018-07-13T20:00:19Z	GCR	2018	7	User instructions and technical details for 500 mm GHP simulation programs	"Thomas, William C"	Engineering Laboratory	10.6028/NIST.GCR.18-016	https://nvlpubs.nist.gov/nistpubs/gcr/2018/NIST.GCR.18-016.pdf
   2018-07-17T15:57:26Z	TN	2018	1	Guidelines for evaluating and expressing the uncertainty of NIST measurement results	"Taylor, Barry N; Kuyatt, Chris E"	Physical Measurement Laboratory.	10.6028/NIST.TN.1297-1993	https://nvlpubs.nist.gov/nistpubs/Legacy/TN/nbstechnicalnote1297-1993.pdf
   2018-07-19T17:45:40Z	TN	2018	7	Building industry reporting and design for sustainability (BIRDS) building code-based residential database technical manual: update	"Kneifel, Joshua; O'Rear, Eric; Webb, David; Greig, Anne Landfield; Suh, Sangwon"	Engineering Laboratory	10.6028/NIST.TN.1999	https://nvlpubs.nist.gov/nistpubs/TechnicalNotes/NIST.TN.1999.pdf
   2018-08-13T14:34:56Z	SP	2018	6	Assessing security requirements for controlled unclassified information	"Ron, Ross; Kelley, Demspey; Victoria, Pilliterri"	Information Technology Laboratory	10.6028/NIST.SP.800-171A	http://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-171A.pdf
   2018-07-31T19:42:34Z	IR	2018	7	"Voices of first responders - identifying public safety communication problems: findings from user-centered interviews, phase 1, volume 1"	"Choong, Yee-Yin; Dawkins, Shanee; Furman, Susanne; Greene, Kristen K; Prettyman, Sandra Spickard; Theofanos, Mary F"	Information Technology Laboratory Material Measurement Laboratory	10.6028/NIST.IR.8216	https://nvlpubs.nist.gov/nistpubs/ir/2018/NIST.IR.8216.pdf
   2018-08-06T19:43:57Z	IR	2018	7	NIST time and frequency bulletin - July	"Stephenson, Kathryn"	Physical Measurement Laboratory	10.6028/NIST.IR.8205-07	https://nvlpubs.nist.gov/nistpubs/ir/2018/NIST.IR.8205-07.pdf
   2018-08-10T14:10:58Z	AMS	2018	8	Manufacturing USA 2017 annual report: program report and summary of institute activities	"Molnar, Michael F"	National Institute of Standards and Technology	10.6028/NIST.AMS.600-3	https://nvlpubs.nist.gov/nistpubs/ams/NIST.AMS.600-3.pdf
